username,creation_date,title,description,scam,n_subscribers,verified
thesneaker_kingz,1577810575.0,theSneaker_Kingz,"Official Telegram page of thesneaker_kingz 
🇬🇭
Costumer care @real_jhay",False,32,False
thesnitchhood,1488127052.0,Snitch 🇬🇭,"The Official Channel For Snitch Inc. 🤘🏽 🌍✨🇬🇭
#teamsnitch
💲💰💸
Follow us on Instagram📷
🆔 snitch.inc
Creator: 🆔 @RevolutionKarsten
He is the Boss💲",False,51,False
thesociety,1491043626.0,,,False,102,False
thesocietyofcontemporaryiran,1593960642.0,انجمن.ایران.معاصر,«انجمن ایران معاصر» بنیادی‌ست مردم‌نهاد و مستقل که به فرهنگ و اندیشه‌ی ایران امروز می‌پردازد,False,169,False
thesoftbulletin,1564523135.0,The Soft Bulletin,"s u g g e s t i o n i
v i s i v e
a c u s t i c h e
e m o z i o n a l i

-

ispirazioni, fotografia, cinema, musica, letteratura, arte, mondo digitale, divulgazione culturale

-

instagram: dvdciriello

-",False,334,False
thesoftsakura,1559140515.0,𝒉𝒚𝒅𝒓𝒂𝒏𝒈𝒆𝒂,,False,41,False
thesoullongs,1573040414.0,🖤thesoullongs🌪️,"Всё для души ❤️
Шикарный канал ⛓️подборки, опросы, цитаты, фоточки✨

Нельзя ни о чём жалеть в этой жизни, 
Случилось сделали вывод и живите дальше 🌪️🖤


https://t.me/Yana_flower",False,41,False
TheSoupNazi,1564882845.0,,"Word on the street is that civilization is fucking collapsing, and you can't overthrow a government on an empty stomach!

@ChannelCollection",False,977,False
thesouthernfolkproject,1611017765.0,The Southern Folk Project,"A commentary and repository of the music, language, religion, and culture of the Dixian people from past to present.",False,25,False
TheSouthWolf,1559085396.0,The Wolf of the South 🇺🇦,"A place where I, Southern Wolf, can speak freely without any fear of censorship, deplatforming, or shadow banning.

I am a fanatical individualist, a radical capitalist, an objectivist, and a transhumanist. Business Grad, Web Dev, Coder, Gamer! #MAGA",False,64,False
thespacepodcast,1583238000.0,#0_The_space_case:artemis.mp3,Новый подкаст про космос,False,22,False
TheSpanishArmy,1508505567.0,TSA Noticias 🇪🇸 [The Spanish Army],"ℹ️ Canal líder en noticias y actualidad de España e internacional, y sucesos de última hora.
ℹ️ One of the leaders of breaking news (in spanish) of Spain and other countries.

📥 Contacto: @tsarmy_bot

Respaldo:
@thespanisharmy1",False,44281,False
